ID,Title,Category / Epic,Priority / MoSCoW,Status,Owner,Product Requirement Link,Description,Acceptance Criteria,Dependencies,Non-Functional Needs,Error / Edge Cases,Technical Notes,Data / Fields,Platform / Scope,Testing Notes
FR-71,Display Partner Profile - Demographics Only,Profile & Partner Interaction,Must Have,To Do,Developer,PR-46,"The system shall display only demographic information (sex, orientation, relationship structure) when Player 2's sharing setting is ""No Responses"".","Given Player 2 shares no responses, when Player 1 views their profile, then only demographics are displayed with no survey responses or visualization.",FR-62,,Demographics not provided.,Simple card layout with demographics only,player2_demographics,"iOS, Android",Test display with demographics only
FR-72,Display Settings Screen,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-47,"The system shall display a settings screen with sections for Profile & Privacy, Account, Subscription, Partner Management, Notifications, and About.",User taps hamburger menu and sees settings with all sections. Anonymous users see grayed-out sections for account-specific settings.,,,Anonymous users cannot access account settings.,Single scrollable page with collapsible sections,"user_settings, subscription_status, notification_preferences","iOS, Android",Test with registered and anonymous users
FR-73,Update Profile Sharing Setting,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-47,"The system shall allow users to change their global profile sharing setting (All Responses, Overlapping Only, Demographics Only).",User selects sharing preference in Settings and it is saved and applied to all future connections.,FR-72,Save immediately,,Default is Overlapping Only,profile_sharing_setting,"iOS, Android",Test setting persistence across sessions
FR-74,Email Signup Form,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-48,"The system shall display an email signup form with email and password fields, validation, and account creation.","User enters valid email and password (min 8 chars), account is created, and user proceeds to demographics.",,"Email format validation, password strength indicator","Email already exists, weak password, network error.",Hash password before storage,"email, password_hash, user_id","iOS, Android","Test validation, duplicate email, password requirements"
FR-75,Request Push Notification Permission,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-49,The system shall request OS-level push notification permission with explanation of why it is needed.,"User sees permission request with context, grants or denies, and preference is saved.",,Follow platform guidelines (iOS/Android),"User denies permission, permission already granted.",Request after login or before first connection attempt,notification_permission_status,"iOS, Android","Test on both platforms, test deny scenario"
FR-76,Display Subscription Plans,Subscription & Monetization,Must Have,To Do,Developer,PR-50,"The system shall display subscription plans with pricing, features, and purchase buttons.",User sees monthly ($4.99) and annual ($29.99) plans with feature comparison and can select to purchase.,,"Clear pricing display, feature comparison","User already subscribed, payment method issues.",Integrate with App Store/Play Store billing,"subscription_plans, pricing, features","iOS, Android","Test purchase flow, test with existing subscription"
FR-77,Process Subscription Payment,Subscription & Monetization,Must Have,To Do,Developer,PR-50,The system shall process subscription payment through platform billing and update user subscription status.,"User completes payment, subscription is activated, and user sees confirmation.",FR-76,"Secure payment processing, PCI compliance","Payment declined, network error, duplicate purchase.","Use platform billing APIs (StoreKit, Google Play Billing)","subscription_status, payment_receipt, expiration_date","iOS, Android","Test with test accounts, test error scenarios"
FR-78,Display Payment Success,Subscription & Monetization,Must Have,To Do,Developer,PR-51,The system shall display payment success confirmation with subscription details and return to game option.,"User sees success message, subscription tier, and can return to gameplay.",FR-77,,,Auto-dismiss after 3 seconds or manual continue,"subscription_tier, expiration_date","iOS, Android",Test navigation back to game
FR-79,Forgot Password Request,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-52,The system shall allow users to request password reset email by entering their email address.,"User enters email, receives reset link via email, and can reset password.",,Email delivery within 5 minutes,"Email not found, email delivery failure.",Generate secure reset token with expiration,"email, reset_token, token_expiration","iOS, Android","Test with valid/invalid emails, test token expiration"
FR-80,Display Legal Content,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-53,The system shall display Privacy Policy and Terms of Service in scrollable text pages.,User can access and read Privacy Policy and Terms from Welcome screen and Settings.,,"Readable formatting, scrollable",,Simple text pages with back navigation,legal_content,"iOS, Android","Test scrolling, test navigation"
FR-81,Delete Account with Confirmation,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-54,The system shall allow users to delete their account with confirmation modal and warning about data loss.,"User selects delete account, sees warning, confirms, and account is deleted with all data.",FR-72,"Irreversible action, clear warnings","Active subscription, network error.","Delete all user data, cancel subscriptions","user_id, all_user_data","iOS, Android","Test data deletion, test subscription cancellation"
FR-82,Display Home/Dashboard Screen,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-55,"The system shall display a home screen for returning users with ""Let's Get Attuned"" CTA, profile summary, and quick access to settings.","Returning user sees home screen with game CTA, taps CTA and goes to Player 2 Setup with last partner pre-filled.",,,"First-time user, no previous partner.",Remember last partner for quick replay,"user_profile, last_partner, subscription_status","iOS, Android",Test with/without previous partner
FR-83,Display Player 2 Notification,Profile & Partner Interaction,Must Have,To Do,Developer,PR-56,The system shall display a notification screen for Player 2 showing connection request with Player 1 details and Accept/Decline options.,"Player 2 receives push notification, opens app, sees request details, and can accept or decline.",FR-75,"Clear sender information, quick response","Request expired, multiple requests.",Deep link from notification to request screen,"player1_name, player1_profile_preview, request_id","iOS, Android","Test notification delivery, test accept/decline"
